Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Due Date,Projects,Effort Level,Workstream
1,3/20/2024,3/25/2024,3/25/2024,Task description,Mar 18-22,Team Member 1,3/22/2024,All Projects,.5 (30 min),Workstream 1
2,3/21/2024,3/25/2024,3/25/2024,Task description,Mar 18-22,Team Member 1,3/22/2024,All Projects,1 (1 hour),Workstream 1
3,3/21/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 2,3/21/2024,All Projects,2 (2 hours),Workstream 1
4,3/21/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 2,3/21/2024,All Projects,.5 (30 min),Workstream 2
5,3/21/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 2,3/21/2024,All Projects,.5 (30 min),Workstream 3
6,3/21/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 2,3/21/2024,All Projects,.5 (30 min),Workstream 2
7,3/21/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 2,3/22/2024,All Projects,.5 (30 min),Workstream 3
8,3/20/2024,,3/22/2024,Task description,Mar 18-22,Team Member 3,3/22/2024,All Projects,1 (1 hour),Workstream 1
9,3/20/2024,3/25/2024,3/25/2024,Task description,Mar 18-22,Team Member 1,3/20/2024,All Projects,.5 (30 min),Workstream 3
10,3/20/2024,,3/22/2024,Task description,Mar 18-22,Team Member 2,3/22/2024,All Projects,2 (2 hours),Workstream 2
11,3/20/2024,3/25/2024,3/25/2024,Task description,Mar 18-22,Team Member 2,3/22/2024,All Projects,4 (4 hours),Workstream 2
12,3/20/2024,3/25/2024,3/25/2024,Task description,Mar 18-22,Team Member 2,3/21/2024,All Projects,1 (1 hour),Workstream 2
13,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 2,3/20/2024,All Projects,.5 (30 min),Workstream 1
14,3/20/2024,,3/22/2024,Task description,Mar 18-22,Team Member 3,3/22/2024,All Projects,1 (1 hour),Workstream 4
15,2/13/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 4,3/20/2024,All Projects,.5 (30 min),Workstream 4
16,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 1,3/19/2024,All Projects,.5 (30 min),Workstream 3
17,3/18/2024,3/18/2024,3/18/2024,Task description,Mar 18-22,Team Member 2,3/18/2024,All Projects,1 (1 hour),Workstream 4
18,3/18/2024,3/18/2024,3/18/2024,Task description,Mar 18-22,Team Member 2,,All Projects,2 (2 hours),Workstream 2
19,3/12/2024,3/19/2024,3/19/2024,Task description,Mar 18-22,Team Member 2,3/18/2024,All Projects,.5 (30 min),Workstream 1
20,3/17/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 1,3/18/2024,All Projects,.5 (30 min),Workstream 3
21,3/12/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 1,3/19/2024,All Projects,2 (2 hours),Workstream 4
22,3/14/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 1,3/18/2024,All Projects,1 (1 hour),Workstream 1
23,3/15/2024,3/18/2024,3/18/2024,Task description,Mar 18-22,Team Member 2,3/18/2024,All Projects,3 (3 hours),Workstream 2
24,3/15/2024,3/15/2024,3/15/2024,Task description,Mar 18-22,Team Member 2,3/18/2024,All Projects,2 (2 hours),Workstream 2
25,3/12/2024,,3/22/2024,Task description,Mar 18-22,Team Member 3,3/22/2024,All Projects,.5 (30 min),Workstream 1
26,3/12/2024,,3/12/2024,Task description,Mar 18-22,Team Member 5,,All Projects,,Workstream 1
27,3/12/2024,,3/12/2024,Task description,Mar 18-22,Team Member 5,,All Projects,,Workstream 1
28,3/12/2024,,3/22/2024,Task description,Mar 18-22,Team Member 3,3/22/2024,All Projects,1 (1 hour),Workstream 1
29,3/12/2024,,3/22/2024,Task description,Mar 18-22,Team Member 3,3/22/2024,All Projects,2 (2 hours),Workstream 1
30,3/20/2024,,3/22/2024,Task description,Mar 18-22,Team Member 3,3/22/2024,All Projects,2 (2 hours),Workstream 1
31,3/12/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,3/22/2024,All Projects,1 (1 hour),Workstream 1
32,3/19/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 3,3/21/2024,All Projects,2 (2 hours),Workstream 1
33,3/20/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 3,3/21/2024,All Projects,1 (1 hour),Workstream 1
34,3/20/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,.5 (30 min),Workstream 3
35,3/19/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,.5 (30 min),Workstream 1
36,3/15/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,.5 (30 min),Workstream 3
37,3/20/2024,3/21/2024,3/21/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,1 (1 hour),Workstream 1
38,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,,All Projects,.5 (30 min),Workstream 4
39,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,.5 (30 min),Workstream 1
40,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,.5 (30 min),Workstream 4
41,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,,All Projects,.5 (30 min),Workstream 4
42,3/19/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,,All Projects,.5 (30 min),Workstream 1
43,3/12/2024,3/25/2024,3/25/2024,Task description,Mar 18-22,Team Member 1,3/22/2024,All Projects,2 (2 hours),Workstream 1
44,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,,All Projects,.5 (30 min),Workstream 1
45,3/19/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,,All Projects,.5 (30 min),Workstream 1
46,3/12/2024,3/25/2024,3/25/2024,Task description,Mar 18-22,Team Member 1,3/22/2024,All Projects,1 (1 hour),Workstream 1
47,3/20/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,.5 (30 min),Workstream 1
48,3/19/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 3,3/20/2024,All Projects,2 (2 hours),Workstream 4
49,2/28/2024,3/18/2024,3/18/2024,Task description,Mar 18-22,Team Member 5,3/18/2024,All Projects,5 (5 hours),Workstream 4
50,2/13/2024,3/19/2024,3/19/2024,Task description,Mar 18-22,Team Member 4,3/19/2024,All Projects,.5 (30 min),Workstream 4
51,2/28/2024,,3/22/2024,Task description,Mar 18-22,Team Member 4,3/22/2024,All Projects,2 (2 hours),Workstream 4
52,3/13/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 2,3/20/2024,All Projects,2 (2 hours),Workstream 3
53,3/12/2024,3/20/2024,3/20/2024,Task description,Mar 18-22,Team Member 2,3/19/2024,All Projects,.5 (30 min),Workstream 3
54,3/15/2024,3/15/2024,3/15/2024,Task description,Mar 11-15,Team Member 2,3/15/2024,All Projects,.5 (30 min),Workstream 3
55,3/15/2024,3/15/2024,3/15/2024,Task description,Mar 11-15,Team Member 2,3/15/2024,All Projects,.5 (30 min),Workstream 4
56,3/14/2024,3/18/2024,3/18/2024,Task description,Mar 11-15,Team Member 1,3/18/2024,All Projects,.5 (30 min),Workstream 4
57,3/14/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 1,3/14/2024,All Projects,.5 (30 min),Workstream 4
58,3/14/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 2,3/14/2024,All Projects,.5 (30 min),Workstream 4
59,3/14/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 1,3/14/2024,All Projects,.5 (30 min),Workstream 5
60,3/14/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 5,3/14/2024,All Projects,.5 (30 min),Workstream 5
61,3/14/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 4,3/14/2024,All Projects,1 (1 hour),Workstream 4
62,3/14/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 2,3/14/2024,All Projects,.5 (30 min),Workstream 2
63,3/13/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 2,3/14/2024,All Projects,.5 (30 min),Workstream 5
64,3/12/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 2,3/14/2024,All Projects,.5 (30 min),Workstream 5
65,3/13/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 2,3/14/2024,All Projects,.5 (30 min),Workstream 1
66,3/13/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 2,3/13/2024,All Projects,.5 (30 min),Workstream 1
67,3/13/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 2,3/13/2024,All Projects,.5 (30 min),Workstream 4
68,3/13/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 1,3/13/2024,All Projects,.5 (30 min),Workstream 1
69,3/13/2024,,3/13/2024,Task description,Mar 11-15,Team Member 5,3/13/2024,All Projects,.5 (30 min),Workstream 1
70,3/13/2024,,3/15/2024,Task description,Mar 11-15,Team Member 4,3/15/2024,All Projects,,Workstream 4
71,3/13/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 4,3/13/2024,All Projects,,Workstream 4
72,3/12/2024,,3/15/2024,Task description,Mar 11-15,Team Member 4,3/15/2024,All Projects,.5 (30 min),Workstream 4
73,3/11/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 1,3/13/2024,All Projects,.5 (30 min),Workstream 3
74,3/12/2024,3/15/2024,3/15/2024,Task description,Mar 11-15,Team Member 3,3/14/2024,All Projects,.5 (30 min),Workstream 1
75,3/12/2024,,3/12/2024,Task description,Mar 11-15,Team Member 1,,All Projects,,Workstream 1
76,3/12/2024,3/18/2024,3/18/2024,Task description,Mar 11-15,Team Member 1,3/14/2024,All Projects,.5 (30 min),Workstream 1
77,3/11/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 2,3/13/2024,All Projects,.5 (30 min),Workstream 3
78,3/12/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 2,3/13/2024,All Projects,.5 (30 min),Workstream 5
79,3/12/2024,,3/12/2024,Task description,Mar 11-15,Team Member 1,,All Projects,,Workstream 1
80,3/12/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 2,3/14/2024,All Projects,1 (1 hour),Workstream 2
81,3/12/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 2,3/11/2024,All Projects,1 (1 hour),Workstream 2
82,3/12/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 2,3/12/2024,All Projects,.5 (30 min),Workstream 4
83,3/12/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 2,3/12/2024,All Projects,.5 (30 min),Workstream 4
84,3/12/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 2,3/12/2024,All Projects,.5 (30 min),Workstream 2
85,3/12/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 2,3/12/2024,All Projects,.5 (30 min),Workstream 4
86,3/11/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 4,3/13/2024,All Projects,.5 (30 min),Workstream 3
87,3/12/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 4,3/12/2024,All Projects,.5 (30 min),Workstream 4
88,2/29/2024,,3/13/2024,Task description,Mar 11-15,Team Member 4,3/13/2024,All Projects,.5 (30 min),Workstream 4
89,3/4/2024,3/17/2024,3/17/2024,Task description,Mar 11-15,Team Member 5,3/15/2024,All Projects,8 (hours),Workstream 4
90,3/11/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 1,3/11/2024,All Projects,.5 (30 min),Workstream 4
91,3/11/2024,,3/12/2024,Task description,Mar 11-15,Team Member 4,3/11/2024,All Projects,1 (1 hour),Workstream 3
92,3/4/2024,3/17/2024,3/17/2024,Task description,Mar 11-15,Team Member 1,3/15/2024,All Projects,1 (1 hour),Workstream 3
93,2/28/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 1,3/15/2024,All Projects,.5 (30 min),Workstream 1
94,2/28/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 1,3/13/2024,All Projects,.5 (30 min),Workstream 1
95,3/7/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 1,3/12/2024,All Projects,1 (1 hour),Workstream 5
96,3/12/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 1,3/12/2024,All Projects,1 (1 hour),Workstream 1
97,3/12/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 1,3/15/2024,All Projects,2 (2 hours),Workstream 1
98,3/5/2024,3/11/2024,3/11/2024,Task description,Mar 11-15,Team Member 1,3/11/2024,All Projects,1 (1 hour),Workstream 4
99,3/6/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 1,3/11/2024,All Projects,.5 (30 min),Workstream 1
100,2/28/2024,3/11/2024,3/11/2024,Task description,Mar 11-15,Team Member 1,3/11/2024,All Projects,.5 (30 min),Workstream 1
101,3/14/2024,3/15/2024,3/15/2024,Task description,Mar 11-15,Team Member 3,3/15/2024,All Projects,.5 (30 min),Workstream 1
102,2/28/2024,3/11/2024,3/11/2024,Task description,Mar 11-15,Team Member 2,3/11/2024,All Projects,1 (1 hour),Workstream 4
103,3/13/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 3,3/14/2024,All Projects,.5 (30 min),Workstream 1
104,3/14/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 3,3/14/2024,All Projects,.5 (30 min),Workstream 3
105,3/13/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 3,3/14/2024,All Projects,.5 (30 min),Workstream 1
106,3/11/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 3,3/14/2024,All Projects,1 (1 hour),Workstream 3
107,3/7/2024,,3/11/2024,Task description,Mar 11-15,Team Member 5,,All Projects,,Workstream 1
108,3/11/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 3,3/12/2024,All Projects,.5 (30 min),Workstream 1
109,3/12/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 3,3/15/2024,All Projects,1 (1 hour),Workstream 1
110,3/12/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 3,3/15/2024,All Projects,1 (1 hour),Workstream 1
111,3/12/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 3,3/15/2024,All Projects,1 (1 hour),Workstream 1
112,3/12/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 3,,All Projects,,Workstream 1
113,3/12/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 3,3/14/2024,All Projects,1 (1 hour),Workstream 5
114,3/5/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 3,3/15/2024,All Projects,1 (1 hour),Workstream 4
115,3/11/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 3,3/11/2024,All Projects,.5 (30 min),Workstream 1
116,3/12/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 3,3/13/2024,All Projects,.5 (30 min),Workstream 1
117,3/12/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 3,3/12/2024,All Projects,.5 (30 min),Workstream 4
118,3/11/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 3,3/18/2024,All Projects,2 (2 hours),Workstream 1
119,3/13/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 3,3/13/2024,All Projects,.5 (30 min),Workstream 3
120,3/11/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 3,3/13/2024,All Projects,1 (1 hour),Workstream 1
121,2/13/2024,,3/15/2024,Task description,Mar 11-15,Team Member 4,3/15/2024,All Projects,1 (1 hour),Workstream 4
122,3/7/2024,3/19/2024,3/19/2024,Task description,Mar 11-15,Team Member 5,,All Projects,1 (1 hour),Workstream 1
123,3/7/2024,,3/20/2024,Task description,Mar 11-15,Team Member 5,,All Projects,,Workstream 1
124,3/12/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 3,,All Projects,,Workstream 1
125,3/12/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 3,3/12/2024,All Projects,1 (1 hour),Workstream 1
126,3/11/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 3,3/13/2024,All Projects,.5 (30 min),Workstream 1
127,2/13/2024,,3/13/2024,Task description,Mar 11-15,Team Member 4,3/13/2024,All Projects,1 (1 hour),Workstream 4
128,3/12/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 3,3/12/2024,All Projects,2 (2 hours),Workstream 1
129,2/13/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 4,3/10/2024,All Projects,.5 (30 min),Workstream 4
130,3/12/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 3,3/12/2024,All Projects,.5 (30 min),Workstream 1
131,3/12/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 3,,All Projects,.5 (30 min),Workstream 1
132,2/13/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 4,3/11/2024,All Projects,.5 (30 min),Workstream 4
133,2/13/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 4,3/13/2024,All Projects,.5 (30 min),Workstream 4
134,2/13/2024,,3/15/2024,Task description,Mar 11-15,Team Member 4,3/15/2024,All Projects,.5 (30 min),Workstream 4
135,2/20/2024,,3/17/2024,Task description,Mar 11-15,Team Member 4,3/17/2024,All Projects,.5 (30 min),Workstream 4
136,3/7/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 5,3/14/2024,All Projects,1 (1 hour),Workstream 1
137,3/11/2024,3/12/2024,3/12/2024,Task description,Mar 11-15,Team Member 5,3/13/2024,All Projects,.5 (30 min),Workstream 3
138,3/14/2024,,3/20/2024,Task description,Mar 11-15,Team Member 5,,All Projects,.5 (30 min),Workstream 4
139,3/13/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 5,,All Projects,1 (1 hour),Workstream 4
140,3/14/2024,3/14/2024,3/14/2024,Task description,Mar 11-15,Team Member 5,3/14/2024,All Projects,.5 (30 min),Workstream 4
141,3/12/2024,3/13/2024,3/13/2024,Task description,Mar 11-15,Team Member 5,3/12/2024,All Projects,.5 (30 min),Workstream 4
